# COPY_LEDGER.tsv
#
# Agent-written copy currently in the build. NOT approved - grandfathered so the
# build runs while the client decides keep / cut / replace on each line.
#
# The guard blocks any NEW untraced string that is not listed here. Adding a row
# to silence a failure defeats the purpose; a row belongs here only after the
# client has seen the line.
#
# Format:  file:line<TAB>status<TAB>exact text
#   status PENDING = awaiting client decision
#          KEEP    = client approved
#
# 106 lines pending.

00-motion.html:4	PENDING	The Pilot's Son
01-hero.html:1	PENDING	Skip to the drop
01-hero.html:6	PENDING	The Pilot's Son
01-hero.html:6	PENDING	Apparel Co. · Est. 1974
01-hero.html:9	PENDING	Colourways
01-hero.html:59	PENDING	Drop 01 · Limited run · 19 pieces
01-hero.html:60	PENDING	Born to fly.
01-hero.html:60	PENDING	Built to lead.
01-hero.html:62	PENDING	Fly boy mentality. All-over-print heavyweight fleece, printed edge to edge — you don&rsquo;t wear it to blend in.
01-hero.html:89	PENDING	Drop closes in
015-board.html:3	PENDING	Drop 01 &middot; the lineup
015-board.html:4	PENDING	The lineup
015-board.html:5	PENDING	Nineteen pieces. Every one of them a statement. Pick a row.
015-board.html:10	PENDING	Sort
015-board.html:11	PENDING	Drop order
015-board.html:15	PENDING	pieces in Drop 01
015-board.html:22	PENDING	The word
02-drop.html:6	PENDING	Nineteen pieces, printed edge to edge. Front and back, no blank panels.
02-drop.html:18	PENDING	PIECES · ALL SIZES S&ndash;3XL
02-drop.html:19	PENDING	Scroll to advance
02-drop.html:24	PENDING	360&deg;
02-drop.html:31	PENDING	Taken upward. The oldest way to leave the ground.
02-drop.html:34	PENDING	Size guide
02-drop.html:35	PENDING	Add to cart
02-drop.html:48	PENDING	Camouflage at altitude. Not everything that flies wants to be seen.
02-drop.html:65	PENDING	Look up, not back. Stone is what happens to those who don't.
02-drop.html:82	PENDING	Someone had to be first to look up and not run.
02-drop.html:99	PENDING	You don't need the dark to see something rising.
02-drop.html:116	PENDING	Before you fly, you spend years just watching.
02-drop.html:133	PENDING	Arrival from above. Ask who taught them to fly.
02-drop.html:150	PENDING	Altitude separates. That's the whole point.
02-drop.html:167	PENDING	Built to transform, built to leave the ground.
02-drop.html:184	PENDING	Gravity's oldest trick. Refuse it.
02-drop.html:200	PENDING	Cupid's Aim
